2018-12-03 15:39:46.331130
START
-----------------------------------------------------------------Iter 1
-57 | S2 | E1:72 | cs_labs
-57 | S2 | E1:70 | cs_secure
-58 | P2 | 7B:A0 | cs_secure
-58 | S2 | E1:73 | cs_guest
-59 | S1 | 85:A3 | cs_labs
-59 | S1 | 85:A1 | cs_guest
-59 | S1 | 85:A0 | cs_secure
-60 | P2 | 7B:A1 | cs_guest
-61 | P2 | 7B:A3 | cs_labs
-61 | S2 | E1:60 | cs_secure
-61 | H2 | 77:13 | cs_labs
-61 | H2 | 77:10 | cs_secure
-62 | H1 | 7A:F0 | cs_secure
-62 | H1 | 7A:F1 | cs_guest
-62 | H1 | 7A:F3 | cs_labs
-62 | P1 | 7A:C3 | cs_labs
-63 | H2 | 77:11 | cs_guest
-63 | S2 | E1:63 | cs_guest
-64 | S2 | E1:62 | cs_labs
-64 | H3 | FC:93 | cs_labs
-64 | H3 | FC:92 | cs_secure
-69 | H4 | 77:71 | cs_guest
-69 | H4 | 77:73 | cs_labs
-70 | H3 | FC:90 | cs_guest
-71 | H3 | FC:83 | cs_labs
-72 | H1 | 7A:E1 | cs_guest
-73 | H3 | FC:80 | cs_guest
-74 | H3 | FC:82 | cs_secure
-----------------------------------------------------------------Iter 10
-45 | L2 | 7C:13 | cs_labs
-45 | L2 | 7C:11 | cs_guest
-45 | L2 | 7C:10 | cs_secure
-48 | L2 | 7C:03 | cs_labs
-48 | L2 | 7C:00 | cs_secure
-49 | L2 | 7C:01 | cs_guest
-49 | L1 | 85:E3 | cs_guest
-50 | L1 | 85:E0 | cs_secure
-51 | L1 | 85:E2 | cs_labs
-53 | L1 | 85:F3 | cs_guest
-53 | L1 | 85:F2 | cs_labs
-53 | L1 | 85:F0 | cs_secure
-54 | H1 | 7A:E0 | cs_secure
-54 | H1 | 7A:E3 | cs_labs
-54 | S1 | 85:B1 | cs_guest
-55 | H1 | 7A:F3 | cs_labs
-55 | S1 | 85:B3 | cs_labs
-55 | S1 | 85:B0 | cs_secure
-57 | H1 | 7A:F1 | cs_guest
-57 | H1 | 7A:F0 | cs_secure
-58 | P2 | 7B:A0 | cs_secure
-58 | S1 | 85:A1 | cs_guest
-58 | S2 | E1:73 | cs_guest
-58 | S2 | E1:72 | cs_labs
-58 | S2 | E1:70 | cs_secure
-59 | S1 | 85:A0 | cs_secure
-59 | S1 | 85:A3 | cs_labs
-60 | P2 | 7B:A1 | cs_guest
-61 | P2 | 7B:A3 | cs_labs
-61 | S2 | E1:60 | cs_secure
-61 | H2 | 77:10 | cs_secure
-61 | H2 | 77:13 | cs_labs
-61 | H2 | 77:11 | cs_guest
-62 | H3 | FC:93 | cs_labs
-62 | P2 | 7B:B3 | cs_labs
-62 | P2 | 7B:B1 | cs_guest
-62 | H3 | FC:92 | cs_secure
-63 | P2 | 7B:B0 | cs_secure
-63 | P1 | 7A:D1 | cs_secure
-64 | P1 | 7A:D0 | cs_guest
-65 | P1 | 7A:D3 | cs_labs
-66 | H4 | 77:71 | cs_guest
-66 | H4 | 77:73 | cs_labs
-71 | H3 | FC:83 | cs_labs
-72 | H1 | 7A:E1 | cs_guest
-72 | S2 | E1:62 | cs_labs
-73 | H3 | FC:80 | cs_guest
-74 | H3 | FC:82 | cs_secure
-74 | P1 | 7A:C3 | cs_labs
-79 | S2 | E1:63 | cs_guest
-----------------------------------------------------------------Iter 11
-44 | L2 | 7C:13 | cs_labs
-44 | L2 | 7C:11 | cs_guest
-44 | L2 | 7C:10 | cs_secure
-49 | L2 | 7C:01 | cs_guest
-50 | L2 | 7C:03 | cs_labs
